Customer ID,Recency,Frequency,Monetary,Cluster,Segment,Region,Customer_Type
CA-12055,402,5,1679.7240000000002,0,Loyal Customers,Central,Home Office
CA-12265,57,9,2648.2871999999998,1,Champions,South,Consumer
CA-12310,14,4,1421.954,1,Champions,East,Corporate
CA-12775,121,7,3041.566,1,Champions,East,Consumer
CB-12025,48,10,6076.139,1,Champions,East,Consumer
CB-12415,27,8,1949.2,1,Champions,East,Consumer
CB-12535,198,8,4246.4555,1,Champions,East,Corporate
CC-12100,458,6,1770.9450000000002,0,Loyal Customers,East,Home Office
CC-12145,107,7,2471.65,1,Champions,West,Consumer
CC-12220,21,12,3913.4179999999997,1,Champions,West,Consumer
CC-12370,44,5,12129.072,1,Champions,East,Consumer
CC-12430,1,12,4606.952,1,Champions,West,Home Office
CC-12475,40,9,1659.438,1,Champions,East,Consumer
CC-12550,28,3,113.832,0,Loyal Customers,West,Consumer
CC-12610,35,7,2540.631,1,Champions,South,Corporate
CC-12670,30,7,2269.7015,1,Champions,South,Consumer
CC-12685,799,4,2854.115,0,Loyal Customers,South,Consumer
CD-11920,41,5,2033.968,1,Champions,East,Consumer
CD-11980,55,3,639.766,0,Loyal Customers,Central,Consumer
CD-12280,43,2,1205.584,0,Loyal Customers,East,Consumer
CD-12790,400,5,1860.732,0,Loyal Customers,West,Home Office
CG-12040,50,6,904.4680000000001,1,Champions,East,Home Office
CG-12520,339,3,1148.78,0,Loyal Customers,Central,Consumer
CH-12070,691,3,1537.236,0,Loyal Customers,East,Home Office
CJ-11875,366,1,16.520000000000003,0,Loyal Customers,East,Corporate
CJ-12010,190,8,11164.974,1,Champions,East,Consumer
CK-12205,40,13,3154.855,1,Champions,East,Consumer
CK-12325,121,5,2945.321,1,Champions,East,Home Office
CK-12595,44,11,2372.75,1,Champions,East,Consumer
CK-12760,83,9,1582.109,1,Champions,East,Corporate
CL-11890,107,4,1262.0140000000001,0,Loyal Customers,East,Consumer
CL-12565,285,12,10880.546,1,Champions,West,Consumer
CL-12700,106,5,2353.5860000000002,1,Champions,West,Home Office
CM-11815,132,6,1673.8880000000001,1,Champions,West,Corporate
CM-11935,708,2,565.3919999999999,0,Loyal Customers,South,Consumer
CM-12115,9,4,1661.6100000000001,1,Champions,East,Consumer
CM-12160,27,6,2533.314,1,Champions,East,Consumer
CM-12190,9,6,1475.144,1,Champions,Central,Consumer
CM-12235,386,5,2305.7120000000004,0,Loyal Customers,South,Consumer
CM-12385,38,4,8954.02,1,Champions,South,Consumer
CM-12445,437,3,287.99,0,Loyal Customers,West,Consumer
CM-12655,28,6,6339.5576,1,Champions,West,Home Office
CM-12715,1035,4,3984.4524000000006,0,Loyal Customers,Central,Corporate
CP-12085,83,8,5402.253999999999,1,Champions,Central,Corporate
CP-12340,161,8,5888.275000000001,1,Champions,East,Corporate
CR-12580,58,4,2148.852,0,Loyal Customers,West,Home Office
CR-12625,471,3,475.90000000000003,0,Loyal Customers,East,Home Office
CR-12730,79,4,1600.55,0,Loyal Customers,East,Consumer
CR-12820,86,3,1397.8724,0,Loyal Customers,Central,Home Office
CS-11845,92,5,1278.9540000000002,0,Loyal Customers,West,Corporate
CS-11860,163,6,537.6320000000001,0,Loyal Customers,East,Consumer
CS-11950,26,11,3036.547,1,Champions,East,Consumer
CS-12130,490,4,884.6400000000001,0,Loyal Customers,West,Consumer
CS-12175,233,5,844.4580000000001,0,Loyal Customers,West,Corporate
CS-12250,27,12,2754.216,1,Champions,West,Corporate
CS-12355,7,11,3202.1620000000003,1,Champions,South,Consumer
CS-12400,3,9,3651.8585000000003,1,Champions,South,Home Office
CS-12460,28,2,550.644,0,Loyal Customers,East,Consumer
CS-12490,425,4,1077.2285,0,Loyal Customers,East,Corporate
CS-12505,59,6,5690.055000000001,1,Champions,West,Consumer
CT-11995,97,11,4503.618,1,Champions,East,Consumer
CV-12295,255,5,2830.628,0,Loyal Customers,Central,Consumer
CV-12805,6,9,2370.3136,1,Champions,Central,Corporate
CW-11905,23,6,1136.592,1,Champions,West,Home Office
CY-12745,61,8,2900.0260000000003,1,Champions,West,Corporate
Co-12640,550,5,1300.076,0,Loyal Customers,Central,Consumer
DA-13450,353,4,156.76,0,Loyal Customers,East,Home Office
DB-12910,22,8,2171.599,1,Champions,South,Home Office
DB-12970,242,5,2839.2272000000003,0,Loyal Customers,West,Corporate
DB-13060,17,7,4531.646000000001,1,Champions,Central,Consumer
DB-13120,49,7,2973.094,1,Champions,East,Corporate
DB-13210,10,10,2332.5769999999998,1,Champions,Central,Consumer
DB-13270,54,8,4655.897,1,Champions,East,Home Office
DB-13360,265,5,1081.466,0,Loyal Customers,East,Home Office
DB-13405,145,8,3674.684,1,Champions,East,Consumer
DB-13555,108,7,3908.8028,1,Champions,South,Corporate
DB-13615,34,7,1989.0500000000002,1,Champions,West,Consumer
DB-13660,13,7,1155.202,1,Champions,East,Consumer
DC-12850,38,9,3336.168,1,Champions,South,Consumer
DC-13285,24,5,1174.618,1,Champions,South,Consumer
DD-13570,42,6,269.54200000000003,0,Loyal Customers,Central,Consumer
DE-13255,719,5,2550.874,0,Loyal Customers,East,Home Office
DF-13135,700,3,2390.534,0,Loyal Customers,Central,Consumer
DG-13300,33,5,3195.818,1,Champions,East,Corporate
DH-13075,278,6,4932.872,1,Champions,West,Corporate
DH-13675,776,4,1043.096,0,Loyal Customers,South,Home Office
DJ-13420,638,4,2012.52,0,Loyal Customers,West,Corporate
DJ-13510,49,8,2501.688,1,Champions,South,Corporate
DJ-13630,13,3,3356.398,1,Champions,East,Consumer
DK-12835,22,12,3256.48,1,Champions,West,Corporate
DK-12895,46,5,4282.1759999999995,1,Champions,Central,Consumer
DK-12985,8,5,1687.04,1,Champions,South,Consumer
DK-13090,43,7,2650.557,1,Champions,East,Consumer
DK-13150,11,2,797.832,0,Loyal Customers,East,Corporate
DK-13225,11,9,4802.394,1,Champions,East,Corporate
DK-13375,20,8,3318.486,1,Champions,West,Consumer
DL-12865,101,8,1503.112,1,Champions,West,Consumer
DL-12925,58,6,3272.2,1,Champions,Central,Consumer
DL-13315,23,8,1458.258,1,Champions,East,Consumer
DL-13330,58,4,585.02,0,Loyal Customers,Central,Consumer
DL-13495,77,8,3539.322,1,Champions,West,Corporate
DM-12955,115,7,1322.034,1,Champions,Central,Corporate
DM-13015,58,7,6345.103000000001,1,Champions,East,Consumer
DM-13345,23,8,4074.4719999999998,1,Champions,East,Corporate
DM-13525,482,3,1376.792,0,Loyal Customers,East,Corporate
DN-13690,218,7,2139.79,1,Champions,West,Consumer
DO-13435,134,9,1300.0315,1,Champions,West,Consumer
DO-13645,27,9,2043.296,1,Champions,East,Consumer
DP-13000,127,9,1050.636,1,Champions,Central,Consumer
DP-13105,7,8,2215.002,1,Champions,West,Corporate
DP-13165,812,2,1058.616,0,Loyal Customers,East,Consumer
DP-13390,359,9,5480.724000000001,1,Champions,West,Home Office
DR-12880,4,9,6528.034000000001,1,Champions,East,Corporate
DR-12940,51,8,8350.868,1,Champions,East,Home Office
DS-13030,94,4,1762.213,0,Loyal Customers,West,Home Office
DS-13180,24,9,2881.8127999999997,1,Champions,Central,Corporate
DV-13045,20,5,1119.483,1,Champions,South,Corporate
DV-13465,30,6,3341.5870000000004,1,Champions,West,Consumer
DW-13195,70,6,1080.751,1,Champions,West,Corporate
DW-13480,218,5,5271.628000000001,1,Champions,Central,Home Office
DW-13540,99,5,344.08,0,Loyal Customers,Central,Consumer
DW-13585,243,7,1204.854,0,Loyal Customers,East,Corporate
Dl-13600,120,5,755.602,0,Loyal Customers,West,Corporate
Dp-13240,85,11,7198.761,1,Champions,South,Home Office
EA-14035,153,13,2846.705,1,Champions,East,Corporate
EB-13705,49,9,3644.978,1,Champions,Central,Corporate
EB-13750,36,10,3236.314,1,Champions,East,Corporate
EB-13840,91,5,4358.128,1,Champions,West,Corporate
EB-13870,101,10,2767.219,1,Champions,West,Consumer
EB-13930,162,5,944.5999999999999,0,Loyal Customers,South,Consumer
EB-13975,1,4,1643.255,1,Champions,South,Corporate
EB-14110,114,6,3071.1259999999997,1,Champions,East,Consumer
EB-14170,83,6,1186.326,1,Champions,Central,Consumer
EC-14050,54,5,461.914,0,Loyal Customers,East,Consumer
ED-13885,136,8,3484.92,1,Champions,Central,Home Office
EG-13900,23,5,1832.02,1,Champions,East,Consumer
EH-13765,136,12,10310.88,1,Champions,East,Corporate
EH-13945,218,8,684.171,0,Loyal Customers,Central,Consumer
EH-13990,406,6,825.95,0,Loyal Customers,East,Consumer
EH-14005,3,7,1219.53,1,Champions,South,Home Office
EH-14125,73,14,3143.483,1,Champions,West,Home Office
EH-14185,106,6,923.884,0,Loyal Customers,East,Consumer
EJ-13720,303,4,2162.174,0,Loyal Customers,West,Consumer
EJ-14155,58,5,2656.691,1,Champions,East,Consumer
EK-13795,45,4,1303.4779999999998,0,Loyal Customers,West,Home Office
EL-13735,78,2,124.28,0,Loyal Customers,Central,Home Office
EM-13810,133,5,2567.01,1,Champions,East,Corporate
EM-13825,56,8,2339.598,1,Champions,Central,Corporate
EM-13960,152,5,933.7040000000001,0,Loyal Customers,Central,Consumer
EM-14065,48,4,228.99,0,Loyal Customers,East,Consumer
EM-14095,114,4,1041.0420000000001,0,Loyal Customers,West,Corporate
EM-14140,49,6,4588.436,1,Champions,West,Home Office
EM-14200,159,3,366.822,0,Loyal Customers,South,Home Office
EN-13780,288,4,2199.366,0,Loyal Customers,East,Consumer
EP-13915,13,17,5478.0608,1,Champions,Central,Consumer
ER-13855,422,3,1245.788,0,Loyal Customers,South,Corporate
ES-14020,41,5,3510.4580000000005,1,Champions,West,Consumer
ES-14080,29,9,4657.924,1,Champions,West,Corporate
FA-14230,98,7,2984.054,1,Champions,West,Corporate
FC-14245,71,7,3418.742,1,Champions,West,Home Office
FC-14335,185,7,3889.366,1,Champions,West,Corporate
FG-14260,35,11,2124.784,1,Champions,East,Home Office
FH-14275,38,10,4256.272,1,Champions,Central,Corporate
FH-14350,213,4,2271.284,0,Loyal Customers,South,Consumer
FH-14365,6,8,6987.196000000001,1,Champions,West,Corporate
FM-14215,8,10,2456.638,1,Champions,South,Corporate
FM-14290,37,9,3736.198,1,Champions,West,Home Office
FM-14380,22,11,2731.996,1,Champions,East,Consumer
FO-14305,39,10,2678.438,1,Champions,West,Consumer
FP-14320,24,8,4046.7459999999996,1,Champions,East,Consumer
FW-14395,363,3,79.75,0,Loyal Customers,East,Corporate
GA-14515,150,8,3919.7760000000003,1,Champions,West,Consumer
GA-14725,6,11,1398.382,1,Champions,Central,Consumer
GB-14530,63,11,1568.44,1,Champions,East,Corporate
GB-14575,14,5,4716.288,1,Champions,South,Consumer
GD-14590,6,4,1888.07,1,Champions,East,Corporate
GG-14650,44,11,8584.092,1,Champions,West,Corporate
GH-14410,76,9,2819.467,1,Champions,West,Home Office
GH-14425,51,4,4172.846,1,Champions,West,Consumer
GH-14485,388,2,1361.2440000000004,0,Loyal Customers,Central,Corporate
GH-14665,3,2,146.9408,0,Loyal Customers,Central,Consumer
GK-14620,113,9,6497.27,1,Champions,West,Corporate
GM-14440,84,7,3582.82,1,Champions,East,Consumer
GM-14455,17,6,3078.6240000000003,1,Champions,East,Home Office
GM-14500,107,10,1255.682,1,Champions,East,Consumer
GM-14680,153,6,3163.628,1,Champions,West,Consumer
GM-14695,118,3,6049.965999999999,0,Loyal Customers,West,Corporate
GP-14740,765,2,236.53000000000003,0,Loyal Customers,East,Corporate
GR-14560,1136,2,1284.3799999999999,0,Loyal Customers,East,Corporate
GT-14635,57,3,9351.212,1,Champions,East,Corporate
GT-14710,37,11,11820.12,1,Champions,East,Consumer
GT-14755,35,4,226.436,0,Loyal Customers,West,Consumer
GW-14605,29,7,2189.0190000000002,1,Champions,South,Consumer
GZ-14470,8,9,4355.15,1,Champions,West,Consumer
GZ-14545,158,8,2529.1099999999997,1,Champions,East,Corporate
HA-14905,70,7,2163.3,1,Champions,East,Consumer
HA-14920,21,8,2584.158,1,Champions,Central,Consumer
HD-14785,769,3,251.35999999999999,0,Loyal Customers,East,Home Office
HE-14800,13,4,883.532,0,Loyal Customers,East,Corporate
HF-14995,22,7,2533.164,1,Champions,West,Consumer
HG-14845,55,5,785.628,0,Loyal Customers,East,Consumer
HG-14965,24,12,3247.642,1,Champions,West,Corporate
HG-15025,7,7,3690.284,1,Champions,Central,Consumer
HH-15010,73,2,218.668,0,Loyal Customers,West,Corporate
HJ-14875,127,5,358.1,0,Loyal Customers,West,Home Office
HK-14890,152,8,4877.784,1,Champions,Central,Corporate
HL-15040,44,6,12873.297999999999,1,Champions,South,Consumer
HM-14860,3,10,8236.7648,1,Champions,Central,Corporate
HM-14980,248,4,736.2760000000001,0,Loyal Customers,West,Consumer
HO-15230,1,2,6.048,0,Loyal Customers,East,Consumer
HO-15231,290,2,620.24,0,Loyal Customers,East,Consumer
HO-15232,290,2,140.928,0,Loyal Customers,East,Consumer
HO-15233,290,2,39.36,0,Loyal Customers,East,Consumer
HO-15234,290,2,281.34000000000003,0,Loyal Customers,East,Consumer
HP-14815,31,7,1990.3139999999999,1,Champions,Central,Home Office
HR-14770,14,5,1299.288,1,Champions,Central,Home Office
HR-14830,160,7,5248.787,1,Champions,East,Corporate
HW-14935,118,8,9300.253999999999,1,Champions,Central,Corporate
HZ-14950,36,5,886.52,0,Loyal Customers,East,Consumer
IG-15085,72,4,744.574,0,Loyal Customers,South,Consumer
IL-15100,143,7,5040.736000000001,1,Champions,Central,Consumer
IM-15055,410,3,2872.6300000000006,0,Loyal Customers,West,Consumer
IM-15070,391,7,4930.474,1,Champions,West,Consumer
JA-15970,93,8,6491.026000000001,1,Champions,West,Consumer
JB-15400,8,12,1830.4850000000001,1,Champions,Central,Corporate
JB-15925,737,3,900.5520000000001,0,Loyal Customers,East,Consumer
JB-16000,44,7,644.1188,1,Champions,West,Consumer
JB-16045,8,5,2518.115,1,Champions,East,Home Office
JC-15340,115,4,71.263,0,Loyal Customers,East,Consumer
JC-15385,176,1,1058.1080000000002,0,Loyal Customers,West,Consumer
JC-15775,159,9,2772.0550000000003,1,Champions,East,Consumer
JC-16105,58,5,858.576,0,Loyal Customers,East,Corporate
JD-15790,118,5,2152.3520000000003,1,Champions,Central,Consumer
JD-15895,395,11,7610.864,1,Champions,East,Corporate
JD-16015,113,6,385.43000000000006,0,Loyal Customers,Central,Consumer
JD-16060,301,3,695.442,0,Loyal Customers,Central,Consumer
JD-16150,42,8,8828.0305,1,Champions,West,Corporate
JE-15475,194,6,1388.682,0,Loyal Customers,Central,Consumer
JE-15610,49,7,7754.976,1,Champions,South,Corporate
JE-15715,47,12,10461.459,1,Champions,Central,Consumer
JE-15745,52,13,6760.815,1,Champions,South,Consumer
JE-16165,21,3,2697.248,1,Champions,Central,Corporate
JF-15190,66,7,2279.5860000000002,1,Champions,East,Consumer
JF-15295,226,5,955.124,0,Loyal Customers,West,Consumer
JF-15355,106,6,1911.844,1,Champions,West,Consumer
JF-15415,3,6,2371.4480000000003,1,Champions,West,Consumer
JF-15490,122,11,1082.9180000000001,1,Champions,West,Consumer
JF-15565,55,8,4198.332,1,Champions,South,Consumer
JG-15115,758,3,2358.676,0,Loyal Customers,South,Consumer
JG-15160,2,11,6366.392,1,Champions,West,Consumer
JG-15310,3,6,2240.58,1,Champions,East,Corporate
JG-15805,224,6,1507.018,0,Loyal Customers,East,Corporate
JH-15430,6,4,309.281,0,Loyal Customers,South,Consumer
JH-15820,175,6,528.91,0,Loyal Customers,East,Consumer
JH-15910,42,7,959.477,1,Champions,Central,Consumer
JH-15985,30,6,7954.9980000000005,1,Champions,West,Consumer
JH-16180,405,4,2256.394,0,Loyal Customers,East,Consumer
JJ-15445,484,5,709.178,0,Loyal Customers,East,Consumer
JJ-15760,753,2,195.0,0,Loyal Customers,South,Home Office
JK-15205,62,5,4427.142,1,Champions,West,Consumer
JK-15325,288,3,383.812,0,Loyal Customers,Central,Corporate
JK-15370,45,8,2709.632,1,Champions,West,Consumer
JK-15625,62,7,3760.0280000000002,1,Champions,East,Consumer
JK-15640,181,9,4760.434,1,Champions,East,Home Office
JK-15730,85,10,4867.2,1,Champions,Central,Consumer
JK-16090,29,3,3747.668,1,Champions,South,Consumer
JK-16120,118,10,2932.484,1,Champions,Central,Home Office
JL-15130,9,6,1214.956,1,Champions,South,Consumer
JL-15175,7,5,1571.5230000000001,1,Champions,West,Home Office
JL-15235,120,5,2203.7000000000003,1,Champions,East,Consumer
JL-15505,50,6,3173.874,1,Champions,West,Consumer
JL-15835,22,11,9799.923,1,Champions,East,Consumer
JL-15850,615,6,2725.2560000000003,0,Loyal Customers,West,Consumer
JM-15250,38,6,3159.122,1,Champions,Central,Consumer
JM-15265,38,5,1804.146,1,Champions,Central,Corporate
JM-15535,103,9,2070.063,1,Champions,East,Consumer
JM-15580,1,5,303.948,1,Champions,West,Consumer
JM-15655,9,5,864.947,1,Champions,West,Corporate
JM-15865,110,7,7625.076,1,Champions,West,Consumer
JM-16195,58,10,2833.926,1,Champions,West,Consumer
JO-15145,58,9,3254.949,1,Champions,West,Corporate
JO-15280,93,6,1934.272,1,Champions,West,Consumer
JO-15550,216,5,1090.8380000000002,0,Loyal Customers,East,Home Office
JP-11135,2,5,515.2,1,Champions,East,Corporate
JP-15460,38,7,1669.135,1,Champions,East,Corporate
JP-15520,9,7,3635.594,1,Champions,West,Consumer
JP-16135,103,9,1707.71,1,Champions,East,Home Office
JR-15670,594,2,1156.658,0,Loyal Customers,West,Consumer
JR-15700,69,1,863.8799999999999,0,Loyal Customers,South,Consumer
JR-16210,34,5,2201.686,1,Champions,West,Corporate
JS-13215,96,2,19.98,0,Loyal Customers,East,Corporate
JS-15595,120,4,1417.654,0,Loyal Customers,Central,Corporate
JS-15685,43,4,1131.064,0,Loyal Customers,South,Corporate
JS-15880,535,5,3868.02,0,Loyal Customers,Central,Consumer
JS-15940,464,5,469.16900000000004,0,Loyal Customers,East,Home Office
JS-16030,29,6,2516.4939999999997,1,Champions,Central,Consumer
JT-12540,287,2,144.58800000000002,0,Loyal Customers,East,Consumer
JW-15220,43,10,8846.354000000001,1,Champions,East,Corporate
JW-15955,6,7,1244.086,1,Champions,East,Consumer
JW-16075,462,4,1428.731,0,Loyal Customers,South,Consumer
KA-16525,37,7,1519.5059999999999,1,Champions,East,Consumer
KB-16240,5,7,3152.6150000000002,1,Champions,Central,Corporate
KB-16315,297,9,1569.464,1,Champions,East,Consumer
KB-16405,118,3,908.821,0,Loyal Customers,West,Home Office
KB-16585,231,12,2744.742,1,Champions,West,Corporate
KB-16600,2,7,983.9219999999999,1,Champions,Central,Corporate
KC-16255,408,6,2120.9539999999997,0,Loyal Customers,South,Corporate
KC-16540,98,4,3908.2619999999997,1,Champions,West,Consumer
KC-16675,58,4,1146.05,0,Loyal Customers,South,Corporate
KD-16270,485,5,8282.358,1,Champions,Central,Consumer
KD-16345,42,6,1888.964,1,Champions,East,Consumer
KD-16495,113,12,8181.256,1,Champions,West,Corporate
KD-16615,290,5,2243.51,0,Loyal Customers,West,Corporate
KE-16420,27,8,1686.7312,1,Champions,West,Corporate
KF-16285,98,7,10604.266,1,Champions,West,Home Office
KH-16330,41,8,3312.864,1,Champions,East,Corporate
KH-16360,2,6,3100.612,1,Champions,Central,Consumer
KH-16510,23,7,5952.859,1,Champions,West,Consumer
KH-16630,59,9,3918.966,1,Champions,East,Corporate
KH-16690,3,7,5990.799000000001,1,Champions,West,Corporate
KL-16555,17,8,5016.488,1,Champions,South,Corporate
KL-16645,48,12,14175.229,1,Champions,Central,Consumer
KM-16225,15,6,2260.958,1,Champions,East,Corporate
KM-16375,57,8,5620.186,1,Champions,West,Home Office
KM-16660,16,5,453.538,0,Loyal Customers,West,Consumer
KM-16720,29,8,4909.472,1,Champions,West,Consumer
KN-16390,20,9,2617.272,1,Champions,East,Corporate
KN-16450,53,5,2171.962,1,Champions,West,Corporate
KN-16705,99,8,2280.58,1,Champions,West,Home Office
KS-16300,296,3,88.47200000000001,0,Loyal Customers,South,Corporate
KT-16465,392,7,3057.1,1,Champions,Central,Consumer
KT-16480,101,10,4642.0884,1,Champions,East,Consumer
KW-16435,97,5,4416.52,1,Champions,East,Consumer
KW-16570,771,4,449.096,0,Loyal Customers,Central,Consumer
LA-16780,155,11,8673.222,1,Champions,Central,Corporate
